Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/1/2020,ID-JK,DKI Jakarta,2,0,0,2,39,20,75,-56,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.6,1.84,0.18,51.2821,192.31,0,0
3/2/2020,ID-JK,DKI Jakarta,2,0,0,2,41,20,75,-54,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.78,1.84,0.18,48.7805,182.93,1,1
3/3/2020,ID-JK,DKI Jakarta,2,0,0,2,43,20,75,-52,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.96,1.84,0.18,46.5116,174.42,1,1
3/4/2020,ID-JK,DKI Jakarta,2,0,0,2,45,20,75,-50,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.18,4.15,1.84,0.18,44.4444,166.67,1,1
3/5/2020,ID-JK,DKI Jakarta,0,1,0,-1,45,21,75,-51,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,1.94,0.19,46.6667,166.67,0,0
3/6/2020,ID-JK,DKI Jakarta,0,0,0,0,45,21,75,-51,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,1.94,0.19,46.6667,166.67,1,0
3/7/2020,ID-JK,DKI Jakarta,0,2,0,-2,45,23,75,-53,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,2.12,0.21,51.1111,166.67,1,0
3/8/2020,ID-JK,DKI Jakarta,0,0,0,0,45,23,75,-53,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,2.12,0.21,51.1111,166.67,1,0
3/9/2020,ID-JK,DKI Jakarta,0,1,0,-1,45,24,75,-54,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,2.21,0.22,53.3333,166.67,1,0
3/10/2020,ID-JK,DKI Jakarta,0,0,0,0,45,24,75,-54,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,2.21,0.22,53.3333,166.67,1,0
3/11/2020,ID-BA,Bali,1,1,0,0,1,1,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.24,0.24,0.24,0.02,100,300,0,0
3/11/2020,ID-JK,DKI Jakarta,0,0,0,0,45,24,75,-54,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,2.21,0.22,53.3333,166.67,1,1
3/11/2020,IDN,Indonesia,7,1,0,6,34,1,2,31,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.03,0.13,0,0,2.94118,5.88,0.88,0
3/12/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0.24,0.02,100,300,0,0
3/12/2020,ID-JK,DKI Jakarta,2,1,4,-3,47,25,79,-57,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.18,4.33,2.3,0.23,53.1915,168.09,0,0
3/12/2020,IDN,Indonesia,0,0,0,0,34,1,2,31,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0,0.13,0,0,2.94118,5.88,0,0
3/13/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0.24,0.02,100,300,1,1
3/13/2020,ID-JK,DKI Jakarta,4,1,3,0,51,26,82,-57,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.37,4.7,2.4,0.24,50.9804,160.78,2,1
3/13/2020,IDN,Indonesia,35,3,0,32,69,4,2,63,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.13,0.26,0.02,0,5.7971,2.9,0,0
3/13/2020,ID-JB,Jawa Barat,4,0,1,3,9,2,61,-54,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.09,0.2,0.04,0,22.2222,677.78,4,1
3/14/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0.24,0.02,100,300,1,1
3/14/2020,ID-JK,DKI Jakarta,2,1,1,0,53,27,83,-57,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.18,4.89,2.49,0.25,50.9434,156.6,0.5,1
3/14/2020,IDN,Indonesia,27,1,6,20,96,5,8,83,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.1,0.36,0.02,0,5.20833,8.33,0.77,0.33
3/14/2020,ID-JB,Jawa Barat,0,0,0,0,9,2,61,-54,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.2,0.04,0,22.2222,677.78,0,1
3/15/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0.24,0.02,100,300,1,1
3/15/2020,ID-JK,DKI Jakarta,8,3,0,5,61,30,83,-52,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.74,5.62,2.77,0.28,49.1803,136.07,4,3
3/15/2020,IDN,Indonesia,21,0,0,21,117,5,8,104,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.08,0.44,0.02,0,4.2735,6.84,0.78,0
3/15/2020,ID-JB,Jawa Barat,0,0,2,-2,9,2,63,-56,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.2,0.04,0,22.2222,700,1,1
3/16/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0.24,0.02,100,300,1,1
3/16/2020,ID-JK,DKI Jakarta,2,3,0,-1,63,33,83,-53,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.18,5.81,3.04,0.3,52.381,131.75,0.25,1
3/16/2020,IDN,Indonesia,17,0,0,17,134,5,8,121,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.06,0.51,0.02,0,3.73134,5.97,0.81,1
3/16/2020,ID-JB,Jawa Barat,0,0,2,-2,9,2,65,-58,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.2,0.04,0,22.2222,722.22,1,1
